LevelEditor                                                      game.load-scene
Tutorial MissionName type enum                                   game.set-mission-name
2                                                                game.set-turn
Red ColorName type enum                                          player.set-color-name
None Team type enum                                              player.set-team
Natalie PersonName type enum                                     player.set-co-name
0 0 int2                                                         player.set-ui-position
16000                                                            player.set-credits
0                                                                player.set-power-meter
-1 0 int2                                                        player.set-unit-look-direction
0                                                                player.set-side
                                                                 player.mark-as-local
                                                                 player.add
Zone0 true                                                       zone.add
-19 22 int2                                                      zone.add-position
-20 21 int2                                                      zone.add-position
-20 20 int2                                                      zone.add-position
-19 20 int2                                                      zone.add-position
-19 19 int2                                                      zone.add-position
-18 19 int2                                                      zone.add-position
-18 20 int2                                                      zone.add-position
-17 20 int2                                                      zone.add-position
-17 21 int2                                                      zone.add-position
-18 22 int2                                                      zone.add-position
-19 21 int2                                                      zone.add-position
-18 21 int2                                                      zone.add-position
-20 22 int2                                                      zone.add-position
-17 22 int2                                                      zone.add-position
-20 19 int2                                                      zone.add-position
-17 19 int2                                                      zone.add-position
Foot MoveType type enum -20 19 int2 0                            zone.add-distance
Foot MoveType type enum -20 20 int2 0                            zone.add-distance
Foot MoveType type enum -20 21 int2 0                            zone.add-distance
Foot MoveType type enum -19 19 int2 0                            zone.add-distance
Foot MoveType type enum -19 20 int2 0                            zone.add-distance
Foot MoveType type enum -19 21 int2 0                            zone.add-distance
Foot MoveType type enum -19 22 int2 0                            zone.add-distance
Foot MoveType type enum -18 19 int2 0                            zone.add-distance
Foot MoveType type enum -18 20 int2 0                            zone.add-distance
Foot MoveType type enum -18 21 int2 0                            zone.add-distance
Foot MoveType type enum -18 22 int2 0                            zone.add-distance
Foot MoveType type enum -17 19 int2 0                            zone.add-distance
Foot MoveType type enum -17 20 int2 0                            zone.add-distance
Foot MoveType type enum -17 21 int2 0                            zone.add-distance
Foot MoveType type enum -17 22 int2 0                            zone.add-distance
Foot MoveType type enum -20 22 int2 0                            zone.add-distance
Foot MoveType type enum -21 19 int2 1                            zone.add-distance
Foot MoveType type enum -21 20 int2 1                            zone.add-distance
Foot MoveType type enum -21 21 int2 1                            zone.add-distance
Foot MoveType type enum -19 23 int2 1                            zone.add-distance
Foot MoveType type enum -18 23 int2 1                            zone.add-distance
Foot MoveType type enum -17 23 int2 1                            zone.add-distance
Foot MoveType type enum -16 19 int2 1                            zone.add-distance
Foot MoveType type enum -16 21 int2 1                            zone.add-distance
Foot MoveType type enum -16 22 int2 1                            zone.add-distance
Foot MoveType type enum -20 23 int2 1                            zone.add-distance
Foot MoveType type enum -22 19 int2 2                            zone.add-distance
Foot MoveType type enum -22 20 int2 2                            zone.add-distance
Foot MoveType type enum -22 21 int2 2                            zone.add-distance
Foot MoveType type enum -21 18 int2 2                            zone.add-distance
Foot MoveType type enum -19 24 int2 2                            zone.add-distance
Foot MoveType type enum -18 24 int2 2                            zone.add-distance
Foot MoveType type enum -17 24 int2 2                            zone.add-distance
Foot MoveType type enum -16 18 int2 2                            zone.add-distance
Foot MoveType type enum -16 23 int2 2                            zone.add-distance
Foot MoveType type enum -15 19 int2 2                            zone.add-distance
Foot MoveType type enum -15 21 int2 2                            zone.add-distance
Foot MoveType type enum -15 22 int2 2                            zone.add-distance
Foot MoveType type enum -20 24 int2 2                            zone.add-distance
Foot MoveType type enum -20 18 int2 2                            zone.add-distance
Foot MoveType type enum -19 18 int2 2                            zone.add-distance
Foot MoveType type enum -18 18 int2 2                            zone.add-distance
Foot MoveType type enum -17 18 int2 2                            zone.add-distance
Foot MoveType type enum -21 22 int2 2                            zone.add-distance
Foot MoveType type enum -16 20 int2 2                            zone.add-distance
Foot MoveType type enum -21 23 int2 2                            zone.add-distance
Foot MoveType type enum -23 19 int2 3                            zone.add-distance
Foot MoveType type enum -23 20 int2 3                            zone.add-distance
Foot MoveType type enum -23 21 int2 3                            zone.add-distance
Foot MoveType type enum -22 18 int2 3                            zone.add-distance
Foot MoveType type enum -22 22 int2 3                            zone.add-distance
Foot MoveType type enum -22 23 int2 3                            zone.add-distance
Foot MoveType type enum -21 17 int2 3                            zone.add-distance
Foot MoveType type enum -21 24 int2 3                            zone.add-distance
Foot MoveType type enum -20 17 int2 3                            zone.add-distance
Foot MoveType type enum -19 17 int2 3                            zone.add-distance
Foot MoveType type enum -18 17 int2 3                            zone.add-distance
Foot MoveType type enum -18 25 int2 3                            zone.add-distance
Foot MoveType type enum -17 25 int2 3                            zone.add-distance
Foot MoveType type enum -16 24 int2 3                            zone.add-distance
Foot MoveType type enum -15 18 int2 3                            zone.add-distance
Foot MoveType type enum -15 20 int2 3                            zone.add-distance
Foot MoveType type enum -15 23 int2 3                            zone.add-distance
Foot MoveType type enum -14 19 int2 3                            zone.add-distance
Foot MoveType type enum -14 21 int2 3                            zone.add-distance
Foot MoveType type enum -20 25 int2 3                            zone.add-distance
Foot MoveType type enum -24 20 int2 4                            zone.add-distance
Foot MoveType type enum -24 21 int2 4                            zone.add-distance
Foot MoveType type enum -23 18 int2 4                            zone.add-distance
Foot MoveType type enum -23 22 int2 4                            zone.add-distance
Foot MoveType type enum -23 23 int2 4                            zone.add-distance
Foot MoveType type enum -22 24 int2 4                            zone.add-distance
Foot MoveType type enum -21 16 int2 4                            zone.add-distance
Foot MoveType type enum -21 25 int2 4                            zone.add-distance
Foot MoveType type enum -20 16 int2 4                            zone.add-distance
Foot MoveType type enum -19 16 int2 4                            zone.add-distance
Foot MoveType type enum -16 25 int2 4                            zone.add-distance
Foot MoveType type enum -15 24 int2 4                            zone.add-distance
Foot MoveType type enum -14 20 int2 4                            zone.add-distance
Foot MoveType type enum -20 26 int2 4                            zone.add-distance
Foot MoveType type enum -18 26 int2 4                            zone.add-distance
Foot MoveType type enum -17 26 int2 4                            zone.add-distance
Foot MoveType type enum -15 17 int2 4                            zone.add-distance
Foot MoveType type enum -14 18 int2 4                            zone.add-distance
Foot MoveType type enum -17 17 int2 4                            zone.add-distance
Foot MoveType type enum -19 25 int2 4                            zone.add-distance
Foot MoveType type enum -16 17 int2 4                            zone.add-distance
Foot MoveType type enum -14 22 int2 4                            zone.add-distance
Foot MoveType type enum -24 22 int2 5                            zone.add-distance
Foot MoveType type enum -23 24 int2 5                            zone.add-distance
Foot MoveType type enum -22 25 int2 5                            zone.add-distance
Foot MoveType type enum -15 25 int2 5                            zone.add-distance
Foot MoveType type enum -13 22 int2 5                            zone.add-distance
Foot MoveType type enum -21 15 int2 5                            zone.add-distance
Foot MoveType type enum -20 15 int2 5                            zone.add-distance
Foot MoveType type enum -19 26 int2 5                            zone.add-distance
Foot MoveType type enum -16 26 int2 5                            zone.add-distance
Foot MoveType type enum -14 17 int2 5                            zone.add-distance
Foot MoveType type enum -13 19 int2 5                            zone.add-distance
Foot MoveType type enum -24 19 int2 5                            zone.add-distance
Foot MoveType type enum -22 17 int2 5                            zone.add-distance
Foot MoveType type enum -18 16 int2 5                            zone.add-distance
Foot MoveType type enum -14 23 int2 5                            zone.add-distance
Foot MoveType type enum -13 21 int2 5                            zone.add-distance
Foot MoveType type enum -21 26 int2 5                            zone.add-distance
Foot MoveType type enum -22 26 int2 6                            zone.add-distance
Foot MoveType type enum -14 25 int2 6                            zone.add-distance
Foot MoveType type enum -22 15 int2 6                            zone.add-distance
Foot MoveType type enum -21 14 int2 6                            zone.add-distance
Foot MoveType type enum -20 14 int2 6                            zone.add-distance
Foot MoveType type enum -15 26 int2 6                            zone.add-distance
Foot MoveType type enum -17 16 int2 6                            zone.add-distance
Foot MoveType type enum -13 18 int2 6                            zone.add-distance
Foot MoveType type enum -24 18 int2 6                            zone.add-distance
Foot MoveType type enum -24 23 int2 6                            zone.add-distance
Foot MoveType type enum -23 17 int2 6                            zone.add-distance
Foot MoveType type enum -22 16 int2 6                            zone.add-distance
Foot MoveType type enum -19 15 int2 6                            zone.add-distance
Foot MoveType type enum -16 16 int2 6                            zone.add-distance
Foot MoveType type enum -15 16 int2 6                            zone.add-distance
Foot MoveType type enum -14 24 int2 6                            zone.add-distance
Foot MoveType type enum -13 20 int2 6                            zone.add-distance
Foot MoveType type enum -23 15 int2 7                            zone.add-distance
Foot MoveType type enum -23 16 int2 7                            zone.add-distance
Foot MoveType type enum -22 14 int2 7                            zone.add-distance
Foot MoveType type enum -21 13 int2 7                            zone.add-distance
Foot MoveType type enum -20 13 int2 7                            zone.add-distance
Foot MoveType type enum -24 24 int2 7                            zone.add-distance
Foot MoveType type enum -12 19 int2 7                            zone.add-distance
Foot MoveType type enum -23 25 int2 7                            zone.add-distance
Foot MoveType type enum -18 15 int2 7                            zone.add-distance
Foot MoveType type enum -13 23 int2 7                            zone.add-distance
Foot MoveType type enum -12 21 int2 7                            zone.add-distance
Foot MoveType type enum -12 22 int2 7                            zone.add-distance
Foot MoveType type enum -13 25 int2 7                            zone.add-distance
Foot MoveType type enum -14 26 int2 7                            zone.add-distance
Foot MoveType type enum -24 16 int2 8                            zone.add-distance
Foot MoveType type enum -24 15 int2 8                            zone.add-distance
Foot MoveType type enum -21 12 int2 8                            zone.add-distance
Foot MoveType type enum -20 12 int2 8                            zone.add-distance
Foot MoveType type enum -23 14 int2 8                            zone.add-distance
Foot MoveType type enum -22 13 int2 8                            zone.add-distance
Foot MoveType type enum -12 20 int2 8                            zone.add-distance
Foot MoveType type enum -24 17 int2 8                            zone.add-distance
Foot MoveType type enum -23 26 int2 8                            zone.add-distance
Foot MoveType type enum -19 14 int2 8                            zone.add-distance
Foot MoveType type enum -17 15 int2 8                            zone.add-distance
Foot MoveType type enum -16 15 int2 8                            zone.add-distance
Foot MoveType type enum -15 15 int2 8                            zone.add-distance
Foot MoveType type enum -13 24 int2 8                            zone.add-distance
Foot MoveType type enum -24 14 int2 9                            zone.add-distance
Foot MoveType type enum -22 12 int2 9                            zone.add-distance
Foot MoveType type enum -19 12 int2 9                            zone.add-distance
Foot MoveType type enum -23 13 int2 9                            zone.add-distance
Foot MoveType type enum -24 25 int2 9                            zone.add-distance
Foot MoveType type enum -12 25 int2 9                            zone.add-distance
Foot MoveType type enum -11 19 int2 9                            zone.add-distance
Foot MoveType type enum -11 21 int2 9                            zone.add-distance
Foot MoveType type enum -11 22 int2 9                            zone.add-distance
Foot MoveType type enum -19 13 int2 9                            zone.add-distance
Foot MoveType type enum -18 14 int2 9                            zone.add-distance
Foot MoveType type enum -13 26 int2 9                            zone.add-distance
Foot MoveType type enum -12 23 int2 9                            zone.add-distance
Foot MoveType type enum -22 11 int2 10                           zone.add-distance
Foot MoveType type enum -19 11 int2 10                           zone.add-distance
Foot MoveType type enum -10 21 int2 10                           zone.add-distance
Foot MoveType type enum -10 22 int2 10                           zone.add-distance
Foot MoveType type enum -23 12 int2 10                           zone.add-distance
Foot MoveType type enum -11 25 int2 10                           zone.add-distance
Foot MoveType type enum -24 26 int2 10                           zone.add-distance
Foot MoveType type enum -12 24 int2 10                           zone.add-distance
Foot MoveType type enum -11 20 int2 10                           zone.add-distance
Foot MoveType type enum -21 11 int2 10                           zone.add-distance
Foot MoveType type enum -20 11 int2 10                           zone.add-distance
Foot MoveType type enum -17 14 int2 10                           zone.add-distance
