Foot MoveType type enum move-type
-6 25 -6 25 0 add
-6 25 -6 24 1 add
-6 25 -6 26 1 add
-6 25 -5 25 1 add
-6 25 -5 26 2 add
-6 25 -4 25 2 add
-6 25 -4 26 3 add
-6 25 -3 25 3 add
-6 25 -8 25 2 add
-6 25 -7 24 2 add
-6 25 -7 25 1 add
-6 25 -7 26 2 add
-6 25 -6 23 3 add
-6 25 -5 24 3 add
-11 24 -11 24 0 add
-11 24 -11 26 2 add
-11 24 -10 23 2 add
-11 24 -10 24 1 add
-11 24 -10 26 3 add
-11 24 -9 23 3 add
-11 24 -9 24 2 add
-11 24 -9 26 4 add
-11 24 -8 23 4 add
-11 24 -8 24 3 add
-11 24 -8 26 5 add
-11 24 -11 25 1 add
-11 24 -10 25 2 add
-11 24 -9 25 3 add
-11 24 -8 25 4 add
-11 24 -7 23 5 add
-11 24 -7 24 4 add
-11 24 -7 25 5 add
-11 24 -7 26 6 add
-11 24 -12 24 2 add
-11 24 -12 25 3 add
-11 24 -12 26 4 add
-11 24 -11 22 4 add
-11 24 -11 23 2 add
-11 24 -13 24 4 add
-11 24 -13 26 6 add
-11 24 -12 22 6 add
-11 24 -12 23 4 add
-11 24 -6 23 7 add
-11 24 -13 25 4 add
-11 24 -14 26 7 add
-3 26 -3 26 0 add
-3 26 -5 26 2 add
-3 26 -4 25 2 add
-3 26 -4 26 1 add
-3 26 -3 24 2 add
-3 26 -3 25 1 add
-3 20 -3 20 0 add
-3 20 -3 22 2 add
-3 20 -3 23 3 add
-3 20 -3 24 4 add
-3 20 -3 25 5 add
-3 20 -4 21 2 add
-3 20 -3 21 1 add
-3 20 -4 19 4 add
-3 20 -4 20 2 add
-3 20 -5 20 4 add
-3 20 -4 18 6 add
-3 20 -4 22 4 add
-3 20 -3 18 4 add
-3 20 -3 19 2 add
-3 22 -3 20 2 add
-3 22 -3 22 0 add
-3 22 -5 22 3 add
-3 22 -5 23 4 add
-3 22 -4 23 2 add
-3 22 -4 24 3 add
-3 22 -4 25 4 add
-3 22 -4 26 5 add
-3 22 -3 23 1 add
-3 22 -3 24 2 add
-3 22 -3 25 3 add
-3 22 -5 21 4 add
-3 22 -4 21 2 add
-3 22 -3 21 1 add
-3 22 -4 19 6 add
-3 22 -4 20 4 add
-3 22 -6 23 6 add
-3 22 -5 20 6 add
-3 22 -5 24 5 add
-3 22 -4 18 8 add
-3 22 -4 22 2 add
-3 22 -3 18 6 add
-3 22 -3 19 4 add
-24 8 -24 8 0 add
-24 8 -24 9 1 add
-24 8 -23 8 1 add
